File updated: 01/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,
Inpatient/Outpatient,CHARGE_CODE,CHARGE_DESC,MEDICATION_NAME,ERX_ID,NDC_CODE,CPT_CODE,GROSS_CHARGES,MIN,MAX,Aetna_HMO,Aetna_PPO,Blue_Cross_HMO_PPO,Blue_Cross_SR_HMO,Blue_Shield_HMO_PPO,Blue_Shield_Sr_HMO,Cigna_PPO,Healthnet_HMO,Healthnet_PPO,Kaiser,Kaiser_SR_MMC,Multiplan,UHC_HMO,UHC_PPO,UHC_SR_HMO/PPO,Uninsured rate for patients that do not qualify for financial assistance*
CSMC IP,01200001,HB ROOM CHARGE 1:5 SEMI PRIV,,,,,10615,683,6426,3263,3707,3114,683,2721,970,5296,3673,3637,3535,2725,6426,4161,3832,867,No standard uninsured rate
CSMC IP,01200002,HB ROOM CHG 1:5 OB PRIV DELX,,,,,10615,700,5317,3616,4448,5317,700,3516,1023,3652,3619,3572,3795,2727,3479,3382,5238,838,No standard uninsured rate
CSMC IP,01200003,HB ROOM CHG 1:5 OB DELX 1 ROOM,,,,,10615,700,6718,3616,4448,3925,700,4062,1023,6718,3619,3572,3795,2727,3479,3382,3320,838,No standard uninsured rate
CSMC IP,01200004,HB ROOM CHG 1:5 OB DELX 2 ROOMS,,,,,10615,700,7932,3616,4448,4606,700,3977,1023,7932,3619,3572,3795,2727,3479,3382,3899,838,No standard uninsured rate
CSMC IP,01200005,HB ROOM CHG 1:5 OB DELX 3 ROOMS,,,,,10615,700,7444,3616,4448,7444,700,3753,1023,3652,3619,3572,3795,2727,3479,3382,3320,838,No standard uninsured rate
CSMC IP,01200006,HB ROOM CHARGE 1:5 SEMI PRIV **,,,,,10615,389,4453,2390,3719,3925,389,2631,1023,3652,3716,3572,4395,2727,3479,4242,4453,838,No standard uninsured rate
CSMC IP,01270001,HB ROOM CHARGE 1:1 ONC,,,,,46930,3094,20650,20650,20650,17407,3094,10402,4523,16144,15997,15791,15018,12054,15377,14948,14675,3705,No standard uninsured rate
CSMC IP,01270002,HB ROOM CHARGE 1:2 ONC,,,,,34585,2280,14492,11781,14492,10498,2280,8508,3333,11898,11789,11637,12363,8883,11332,11016,10815,2731,No standard uninsured rate
CSMC IP,01270003,HB ROOM CHARGE 1:3 ONC,,,,,14515,957,6387,6387,6217,4914,957,3309,1399,4994,4948,4884,4645,3729,4756,3360,4020,1146,No standard uninsured rate
CSMC IP,01270004,HB ROOM CHARGE 1:4 ONC,,,,,13114,865,6626,3848,5085,4860,865,3491,1264,6626,4526,4590,4688,3369,4297,5368,4811,1036,No standard uninsured rate
CSMC IP,01290001,HB ROOM CHARGE TRAUMA 1:5 MED/SURG,,,,,15091,995,7272,3102,7272,2902,995,3561,1455,6904,4974,5078,5576,3536,1478,4807,3551,1192,No standard uninsured rate
CSMC IP,01530001,HB ROOM CHARGE TRAUMA 1:5 PEDS,,,,,15774,1040,6610,5374,6610,4287,1040,3971,1521,5427,5377,5308,5639,4052,5169,5025,4933,1246,No standard uninsured rate
CSMC IP,01710001,HB ROOM CHARGE 1:8 NSY,,,,,4287,283,2425,997,865,1101,283,1025,414,2425,1485,1452,1771,1055,1254,1778,2069,339,No standard uninsured rate
CSMC IP,01720001,HB ROOM CHARGE 1:4 NSY,,,,,5565,367,5565,1896,1645,2382,367,1451,537,5565,1897,1873,1990,1430,1824,1773,3766,440,No standard uninsured rate
CSMC IP,01720003,HB ROOM CHARGE 1:4 NICU/PICU,,,,,22030,1453,9232,7504,9232,5533,1453,4884,2123,7579,7510,7413,7875,5659,7219,7017,6889,1740,No standard uninsured rate
CSMC IP,01730002,HB ROOM CHARGE 1:3 NICU/PICU,,,,,26388,1740,11574,8989,11574,7887,1740,7613,2543,7704,8995,8012,9433,6778,8647,6564,7929,2084,No standard uninsured rate
CSMC IP,01740001,HB ROOM CHARGE 2:1 NICU/PICU,,,,,59911,3950,25104,20408,25104,16282,3950,14180,5774,20610,20422,20159,21416,15388,19631,19083,18734,4730,No standard uninsured rate
CSMC IP,01740002,HB ROOM CHARGE 1:1 NICU/PICU,,,,,46486,3065,21807,15835,21807,9607,3065,12617,4480,15992,15846,16181,16617,11940,15232,15927,11502,3670,No standard uninsured rate
CSMC IP,01740003,HB ROOM CHARGE 1:2 NICU/PICU,,,,,38430,2534,16563,13091,16563,10908,2534,11446,3704,13220,13100,11799,15840,9358,12592,11107,13293,3034,No standard uninsured rate
CSMC IP,02000001,HB ROOM CHARGE 2:1 ICU,,,,,53857,3551,22568,18346,22568,20495,3551,13557,5190,18527,18358,18122,19252,13833,17647,17155,7733,4252,No standard uninsured rate
CSMC IP,02000002,HB ROOM CHARGE 1:1 ICU,,,,,42608,3309,20367,14514,18309,13688,3631,12624,4106,20367,14524,14337,14187,12728,13961,13572,13873,3309,No standard uninsured rate
CSMC IP,02000003,HB ROOM CHARGE 1:2 ICU,,,,,31396,2427,25117,11047,11540,7813,2427,7798,3220,14993,10440,10919,10677,9188,25117,10503,11160,2438,No standard uninsured rate
CSMC IP,02030001,HB ROOM CHARGE 1:3 STP DWN PED,,,,,13177,869,5754,4489,5522,5754,869,3406,1270,4533,4492,4434,4711,3385,4318,4198,5025,1041,No standard uninsured rate
