Code,Description,Charge Amount,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
4450200007,ANESTHESIA,"$1,199.16",,,,,,,
4450200001,ANESTHESIA,$937.03,,,,,,,
4450200015,ANESTHESIA,$474.30,,,,,,,
4450200005,ANESTHESIA,"$2,398.31",,,,,,,
4450200010,ANESTHESIA,$408.99,,,,,,,
4450200025,ANESTHESIA,$540.84,,,,,,,
4450200020,ANESTHESIA,"$1,078.75",,,,,,,
4450200050,"ANESTHESIA - MODERATE SEDATION SERVICES BY NON-PROCEDURAL PHYSICIAN FOR PATIENT OLDER THAN 5 YEARS, FIRST 15 MINUTES",$432.21,,,,,,,
4010700160,"ANESTHESIA - MODERATE SEDATION SERVICES BY NON-PROCEDURAL PHYSICIAN FOR PATIENT OLDER THAN 5 YEARS, FIRST 15 MINUTES",$634.72,,,,,,,
4010700155,"ANESTHESIA - MODERATE SEDATION SERVICES BY NON-PROCEDURAL PHYSICIAN FOR PATIENT YOUNGER THAN 5 YEARS, FIRST 15 MINUTES",$574.28,,,,,,,
4010700165,"ANESTHESIA - MODERATE SEDATION SERVICES BY NON-PROCEDURAL PHYSICIAN, EACH ADDITIONAL 15 MINUTES",$298.47,,,,,,,
4450200055,"ANESTHESIA - MODERATE SEDATION SERVICES BY NON-PROCEDURAL PHYSICIAN, EACH ADDITIONAL 15 MINUTES",$432.21,,,,,,,
4450200040,"ANESTHESIA - MODERATE SEDATION SERVICES BY PROCEDURAL PHYSICIAN FOR PATIENT OLDER THAN 5 YEARS, FIRST 15 MINUTES",$432.21,,,,,,,
4010700145,"ANESTHESIA - MODERATE SEDATION SERVICES BY PROCEDURAL PHYSICIAN FOR PATIENT OLDER THAN 5 YEARS, FIRST 15 MINUTES",$698.19,,,,,,,
4010700140,"ANESTHESIA - MODERATE SEDATION SERVICES BY PROCEDURAL PHYSICIAN FOR PATIENT YOUNGER THAN 5 YEARS, FIRST 15 MINUTES",$574.28,,,,,,,
4450200045,"ANESTHESIA - MODERATE SEDATION SERVICES BY PROCEDURAL PHYSICIAN FOR PATIENT YOUNGER THAN 5 YEARS, FIRST 15 MINUTES",$432.21,,,,,,,
4450200035,"ANESTHESIA - MODERATE SEDATION SERVICES BY PROCEDURAL PHYSICIAN FOR PATIENT YOUNGER THAN 5 YEARS, FIRST 15 MINUTES",$432.21,,,,,,,
4450200030,"ANESTHESIA - MODERATE SEDATION SERVICES BY PROCEDURAL PHYSICIAN, EACH ADDITIONAL 15 MINUTES",$432.21,,,,,,,
4010700150,"ANESTHESIA - MODERATE SEDATION SERVICES BY PROCEDURAL PHYSICIAN, EACH ADDITIONAL 15 MINUTES",$328.31,,,,,,,
4770200001,BEHAVIORAL HEALTH - BIOFEEDBACK TRAINING,$74.95,,,,,,,
4670200130,BLOOD ADMINISTRATION - INTRAUTERINE FETAL TRANSFUSION,$896.26,,,,,,,
4010201830,BLOOD ADMINISTRATION - TRANSFUSION OF BLOOD OR BLOOD PRODUCTS,"$2,339.81",,,,,,,
4540400005,BLOOD PROCESSING & STORAGE - BLOOD (SPLIT UNIT),$290.91,,,,,,,
4540400010,BLOOD PROCESSING & STORAGE - CRYOPRECIPITATE,$83.79,,,,,,,
4540400150,BLOOD PROCESSING & STORAGE - FRESH FROZEN PLASMA - DONOR RETESTED,$272.62,,,,,,,
4540400020,BLOOD PROCESSING & STORAGE - FRESH FROZEN PLASMA - SINGLE DONOR,$77.70,,,,,,,
4540400151,BLOOD PROCESSING & STORAGE - FRESH FROZEN PLASMA - WITHIN 8 TO 24 HOURS OF COLLECTION,$45.90,,,,,,,
4540400145,BLOOD PROCESSING & STORAGE - FRESH FROZEN PLASMA - WITHIN 8 TO 24 HOURS OF COLLECTION,$279.43,,,,,,,
4540400045,BLOOD PROCESSING & STORAGE - FROZEN PLASMA - MULTIPLE DONOR,$235.12,,,,,,,
4540400105,BLOOD PROCESSING & STORAGE - GRANULOCYTES - PHERESIS,$688.39,,,,,,,
4540200305,BLOOD PROCESSING & STORAGE - INFUSION - HUMAN ALBUMIN,$378.26,,,,,,,
4540200280,BLOOD PROCESSING & STORAGE - INFUSION - HUMAN ALBUMIN,$766.70,,,,,,,
4540200310,BLOOD PROCESSING & STORAGE - INFUSION - HUMAN ALBUMIN,"$5,786.61",,,,,,,
4540200285,BLOOD PROCESSING & STORAGE - INFUSION - HUMAN PLASMA PROTEIN FRACTION,$105.64,,,,,,,
4540400100,BLOOD PROCESSING & STORAGE - PLASMA - CRYOPRECIPITATE REDUCED,$63.80,,,,,,,
4540400025,BLOOD PROCESSING & STORAGE - PLATELETS,$286.25,,,,,,,
4540400060,BLOOD PROCESSING & STORAGE - PLATELETS - IRRADIATED/WHITE CELLS REDUCED,$595.15,,,,,,,
4540400065,BLOOD PROCESSING & STORAGE - PLATELETS - PHERESIS,$894.48,,,,,,,
4540400110,BLOOD PROCESSING & STORAGE - PLATELETS - PHERESIS/APHERESIS/HLA MATCHED/WHITE CELLS REDUCED,"$3,135.26",,,,,,,
4540400075,BLOOD PROCESSING & STORAGE - PLATELETS - PHERESIS/IRRADIATED,"$1,738.02",,,,,,,
4540400080,BLOOD PROCESSING & STORAGE - PLATELETS - PHERESIS/IRRADIATED/WHITE CELLS REDUCED,"$1,026.81",,,,,,,
4540400070,BLOOD PROCESSING & STORAGE - PLATELETS - PHERESIS/WHITE CELLS REDUCED,$850.88,,,,,,,
4540400050,BLOOD PROCESSING & STORAGE - PLATELETS - WHITE CELLS REDUCED,$422.56,,,,,,,
4540400085,BLOOD PROCESSING & STORAGE - RED BLOOD CELLS - IRRADIATED,$422.10,,,,,,,
4540400095,BLOOD PROCESSING & STORAGE - RED BLOOD CELLS - IRRADIATED/WHITE CELLS REDUCED,$705.42,,,,,,,
4540400090,BLOOD PROCESSING & STORAGE - RED BLOOD CELLS - THAWED,"$1,400.65",,,,,,,
4540400040,BLOOD PROCESSING & STORAGE - RED BLOOD CELLS - WASHED,"$1,097.33",,,,,,,
4541602900,BLOOD PROCESSING & STORAGE - RED BLOOD CELLS - WHITE CELLS REDUCED,$697.64,,,,,,,
4540400015,BLOOD PROCESSING & STORAGE - RED BLOOD CELLS - WHITE CELLS REDUCED,$488.47,,,,,,,
4540400140,BLOOD PROCESSING & STORAGE - RED BLOOD CELLS - WHITE CELLS REDUCED/CMV NEGATIVE/IRRADIATED,"$1,097.33",,,,,,,
4540200160,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$53.32,,,,,,,
4540400120,BLOOD PROCESSING & STORAGE - WHOLE BLOOD/RED BLOOD CELLS - WHITE CELLS REDUCED/FROZEN THAWED/WASHED,$439.60,,,,,,,
4620200015,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,"$1,339.60",,,,,,,
4620200010,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND DROWSY,"$1,314.66",,,,,,,
4620200025,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY FOR EVAUATION OF BRAIN DEATH,"$1,069.86",,,,,,,
4620200020,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY IN COMA OR ASLEEP,"$1,069.86",,,,,,,
4470108859,CANCER TREATMENT - IMPLANTABLE JOINT DEVICE,"$3,183.73",,,,,,,
4720092950,CARDIOLOGY - ATTEMPT TO RESTART HEART AND LUNGS,"$1,705.33",,,,,,,
4560200060,"CARDIOLOGY - COMPLETE DOPPLER ULTRASOUND STUDY OF HEART BLOOD FLOW, VALVES, AND CHAMBERS WITH GRAPHIC DISPLAY","$1,224.61",,,,,,,
4560200070,"CARDIOLOGY - DOPPLER ULTRASOUND COLOR-MAPPING OF HEART BLOOD FLOW, RATE, AND VALVE FUNCTION",$267.39,,,,,,,
4560200035,"CARDIOLOGY - ESOPHAGEAL ULTRASOUND EXAM OF HEART INCLUDING IMAGE ACQUISITION, INTERPRETATION AND REPORT ONLY","$2,542.78",,,,,,,
4560200030,CARDIOLOGY - ESOPHAGEAL ULTRASOUND EXAM OF HEART INCLUDING PLACEMENT OF ESOPHAGEAL PROBE ONLY,"$1,543.77",,,,,,,
4560200025,"CARDIOLOGY - ESOPHAGEAL ULTRASOUND EXAM OF HEART INCLUDING PROBE PLACEMENT, IMAGE ACQUISITION, INTERPRETATION AND REPORT","$6,759.01",,,,,,,
4590200435,"CARDIOLOGY - EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG MONITORING, TRACING ONLY","$1,777.36",,,,,,,
4591200010,"CARDIOLOGY - EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG MONITORING, TRACING ONLY","$1,777.36",,,,,,,
4591200013,CARDIOLOGY - INFUSION OF DRUG WITH EVALUATION OF CORONARY ARTERY SPASM RESPONSE,$684.98,,,,,,,
4560200015,CARDIOLOGY - ULTRASOUND EXAM OF HEART,"$2,312.15",,,,,,,
4560200010,"CARDIOLOGY - ULTRASOUND EXAM OF HEART INCLUDING COLOR-DEPICTED BLOOD FLOW RATE, DIRECTION, AND VALVE FUNCTION","$3,547.81",,,,,,,
4560200020,"CARDIOLOGY - Ultrasound Exam Of Heart, Follow-Up Or Limited Study","$1,282.93",,,,,,,
4560200075,CARDIOLOGY - ULTRASOUND EXAM OF THE HEART PERFORMED DURING REST AND EXERCISE WITH INTERPRETATION AND REPORT,"$4,460.75",,,,,,,
4430200135,"CHEMOTHERAPY - HORMONAL ANTI-NEOPLASTIC CHEMOTHERAPY ADMINISTRATION, UNDER THE SKIN OR INTO MUSCLE",$143.12,,,,,,,
4075200120,CLINIC VISIT,$23.68,,,,,,,
4075200050,CLINIC VISIT,$23.68,,,,,,,
4075200125,CLINIC VISIT,$53.40,,,,,,,
4075200115,CLINIC VISIT,$53.40,,,,,,,
4075200075,CLINIC VISIT,$53.40,,,,,,,
4075200095,CLINIC VISIT,$92.07,,,,,,,
4075200030,CLINIC VISIT,$659.71,,,,,,,
4075200035,CLINIC VISIT,$92.07,,,,,,,
4075200155,CLINIC VISIT,$302.40,,,,,,,
4075200065,CLINIC VISIT,$92.07,,,,,,,
4075200045,CLINIC VISIT,$53.40,,,,,,,
4075200055,CLINIC VISIT,$53.40,,,,,,,
4075200105,CLINIC VISIT,$53.40,,,,,,,
4075200090,CLINIC VISIT,$53.40,,,,,,,
4075200005,CLINIC VISIT,$597.31,,,,,,,
4075200085,CLINIC VISIT,$32.64,,,,,,,
4878700025,CLINIC VISIT - ESTABLISHED PATIENT NURSE OFFICE VISIT,$249.35,,,,,,,
4075300025,CLINIC VISIT - Established Patient Nurse Office Visit,$173.15,,,,,,,
4878700045,CLINIC VISIT - ESTABLISHED PATIENT OFFICE VISIT FOR HIGH SEVERITY ISSUES,$796.55,,,,,,,
4075300045,CLINIC VISIT - Established Patient Office Visit For High Severity Issues,$796.55,,,,,,,
4075300035,CLINIC VISIT - Established Patient Office Visit For Low Severity Issues,$304.76,,,,,,,
4878700035,CLINIC VISIT - ESTABLISHED PATIENT OFFICE VISIT FOR LOW SEVERITY ISSUES,$325.54,,,,,,,
4075300030,CLINIC VISIT - Established Patient Office Visit For Minor Issues,$249.35,,,,,,,
4878700030,CLINIC VISIT - ESTABLISHED PATIENT OFFICE VISIT FOR MINOR ISSUES,$304.76,,,,,,,
4878700040,CLINIC VISIT - ESTABLISHED PATIENT OFFICE VISIT FOR MODERATE SEVERITY ISSUES,$464.07,,,,,,,
4075300040,CLINIC VISIT - Established Patient Office Visit For Moderate Severity Issues,$464.07,,,,,,,
4075300020,CLINIC VISIT - New Patient Office Visit For High Severity Issues,"$1,198.42",,,,,,,
4878700020,CLINIC VISIT - NEW PATIENT OFFICE VISIT FOR HIGH SEVERITY ISSUES,"$1,198.42",,,,,,,
4075300005,CLINIC VISIT - New Patient Office Visit For Low Severity Issues,$318.61,,,,,,,
4878700005,CLINIC VISIT - NEW PATIENT OFFICE VISIT FOR LOW SEVERITY ISSUES,$318.61,,,,,,,
4878700010,CLINIC VISIT - NEW PATIENT OFFICE VISIT FOR MODERATE SEVERITY ISSUES,$338.00,,,,,,,
4075300010,CLINIC VISIT - New Patient Office Visit For Moderate Severity Issues,$338.00,,,,,,,
4878700015,CLINIC VISIT - NEW PATIENT OFFICE VISIT FOR MODERATELY-HIGH SEVERITY ISSUES,$674.87,,,,,,,
4075300015,CLINIC VISIT - New Patient Office Visit For Moderately-High Severity Issues,$674.87,,,,,,,
4070200135,CLINIC VISIT - Patient Office Consultation For High Severity Issues,$494.34,,,,,,,
4070200120,CLINIC VISIT - Patient Office Consultation For Low Severity Issues,$205.97,,,,,,,
4070200115,CLINIC VISIT - Patient Office Consultation For Minor Issues,$117.70,,,,,,,
4070200125,CLINIC VISIT - Patient Office Consultation For Moderate Severity Issues,$270.71,,,,,,,
4070200130,CLINIC VISIT - Patient Office Consultation For Moderately-High Severity Issues,$388.41,,,,,,,
4760200190,CLINIC VISIT - SCRENNING DIGITAL RECTAL EXAM,$66.48,,,,,,,
4630201986,DIAGNOSTIC IMAGING,$494.54,,,,,,,
4680200560,DIAGNOSTIC IMAGING - 3D PROCEDURE WITH IMAGE POSTPROCESSING ON INDEPENDENT WORKSTATION,$870.71,,,,,,,
4660200720,DIAGNOSTIC IMAGING - 3D PROCEDURE WITHOUT IMAGE POSTPROCESSING ON INDEPENDENT WORKSTATION,$346.32,,,,,,,
