Code,Description,Charge Amount,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
44504496.0,ANESTHESIA,$364.00,,,,,,,,,,
44504413.0,ANESTHESIA,"$1,816.00",,,,,,,,,,
44504413.0,ANESTHESIA,$352.00,,,,,,,,,,
44504389.0,ANESTHESIA,$484.00,,,,,,,,,,
44504405.0,ANESTHESIA,$121.00,,,,,,,,,,
44504405.0,ANESTHESIA,$129.00,,,,,,,,,,
44504033.0,ANESTHESIA,$850.00,,,,,,,,,,
44504389.0,ANESTHESIA,$517.00,,,,,,,,,,
44504223.0,ANESTHESIA,$364.00,,,,,,,,,,
44504025.0,ANESTHESIA,"$3,438.00",,,,,,,,,,
44504389.0,ANESTHESIA,$484.00,,,,,,,,,,
44504389.0,ANESTHESIA,$802.00,,,,,,,,,,
44504223.0,ANESTHESIA,$347.00,,,,,,,,,,
44504462.0,ANESTHESIA,$88.00,,,,,,,,,,
44504405.0,ANESTHESIA,$121.00,,,,,,,,,,
44504132.0,ANESTHESIA,$347.00,,,,,,,,,,
44504033.0,ANESTHESIA,$909.00,,,,,,,,,,
44504496.0,ANESTHESIA,$347.00,,,,,,,,,,
44504405.0,ANESTHESIA,$129.00,,,,,,,,,,
44504033.0,ANESTHESIA,$909.00,,,,,,,,,,
44504033.0,ANESTHESIA,$850.00,,,,,,,,,,
44504025.0,ANESTHESIA,"$3,438.00",,,,,,,,,,
44504025.0,ANESTHESIA,"$3,675.00",,,,,,,,,,
40410508.0,ANESTHESIA,$704.00,,,,,,,,,,
44504405.0,ANESTHESIA,$201.00,,,,,,,,,,
44504223.0,ANESTHESIA,$347.00,,,,,,,,,,
44504496.0,ANESTHESIA,$347.00,,,,,,,,,,
44504413.0,ANESTHESIA,$352.00,,,,,,,,,,
44504413.0,ANESTHESIA,$352.00,,,,,,,,,,
44504462.0,ANESTHESIA,$92.00,,,,,,,,,,
44504462.0,ANESTHESIA,$94.00,,,,,,,,,,
44504413.0,ANESTHESIA,$370.00,,,,,,,,,,
44504033.0,ANESTHESIA,$893.00,,,,,,,,,,
44504025.0,ANESTHESIA,"$3,438.00",,,,,,,,,,
